post_id,user_id,text,timestamp,likes
314052,675586,"Lorem ipsum dolor sit amet, tempor sit non nulla habitant nulla a. Ante per eu efficitur augue odio blandit eu",2023-01-01T16:26:53Z,262272|654376|269527
644808,279853,"Lorem ipsum dolor sit amet, gravida libero ad aenean metus in. Velit consectetur est gravida bibendum interdum eu. Id quis",2023-01-01T20:27:19Z,957277|105301|525925
963180,760029,"Lorem ipsum dolor sit amet, pretium sit semper, ipsum semper morbi volutpat. Egestas, nulla aliquam maximus. Ac taciti odio interdum",2023-01-01T21:08:14Z,998915|197002
639966,585428,"Lorem ipsum dolor sit amet, in pretium. Posuere fermentum adipiscing sapien non a quam. Condimentum ante, mi, tincidunt ante elementum",2023-01-01T21:19:06Z,659512|381220|252113
937030,974067,"Lorem ipsum dolor sit amet, in tempor blandit duis et tellus. Et primis a tempus, quam dapibus. Quam mus sed",2023-01-02T00:32:59Z,639199|683652
764307,158431,"Lorem ipsum dolor sit amet, interdum quam nostra sociosqu nullam sed eget. Sem cubilia luctus eu diam tortor ac turpis,",2023-01-02T01:59:00Z,715177|791754|423404
991469,230812,"Lorem ipsum dolor sit amet, mollis vulputate vestibulum tortor eget tempus non? Porttitor nibh placerat, nisl ut primis. Magna amet",2023-01-02T08:38:25Z,46094
212614,627931,"Lorem ipsum dolor sit amet, arcu, rhoncus magna orci nulla semper finibus ac id in, risus. Felis massa ac ut",2023-01-02T09:08:36Z,337626
796752,300730,"Lorem ipsum dolor sit amet, ex sollicitudin a at ante, lectus tempus. Sed at sapien orci lobortis a nec leo",2023-01-02T11:32:31Z,529108|536241|361738|48718
27102,874678,"Lorem ipsum dolor sit amet, magnis amet ante senectus suspendisse nunc non. Sed sagittis nec eget quam purus est fringilla",2023-01-02T12:19:48Z,986660|247955|251546|27462|454945
644051,806651,"Lorem ipsum dolor sit amet, primis vitae quis dis finibus vulputate ornare vestibulum non. Vivamus tincidunt aliquam ac nisi, faucibus",2023-01-02T13:43:05Z,689044|656523|154354|675586|439965
195405,598188,"Lorem ipsum dolor sit amet, ipsum viverra magna senectus. Lectus maecenas sed, ipsum vel eget ullamcorper odio lacus pretium in.",2023-01-03T01:06:06Z,826140|157433|82130
949334,497243,"Lorem ipsum dolor sit amet, mi sed donec sodales pellentesque inceptos, duis nam eleifend vulputate. Cras purus id ipsum lobortis.",2023-01-03T02:12:31Z,604975|638427|428590|630386
521346,797681,"Lorem ipsum dolor sit amet, pellentesque nunc sodales hac massa, aliquam euismod. Accumsan in rutrum vestibulum facilisi vitae. At, himenaeos",2023-01-03T02:56:01Z,483947|198822|566767|715177|53614
990572,682222,"Lorem ipsum dolor sit amet, pellentesque non vitae maximus adipiscing. Primis pharetra sed ultrices gravida eu aenean. Libero velit sociis",2023-01-03T04:14:57Z,845787|459179|421012|232501|121289
285417,585884,"Lorem ipsum dolor sit amet, hendrerit fermentum nam at. A fusce odio urna semper sagittis curabitur auctor blandit. Augue et",2023-01-03T06:38:51Z,147209|692034|499533
505100,532579,"Lorem ipsum dolor sit amet, sed ut sollicitudin amet. Vestibulum laoreet feugiat. Hac porta tempus et varius eros sem dapibus!",2023-01-03T06:44:19Z,585044|436252|154698|669278
74408,906726,"Lorem ipsum dolor sit amet, aliquet, non netus nibh sed enim montes blandit finibus. Sed eu odio commodo eros efficitur.",2023-01-03T12:59:07Z,106802|971830|370693|58245|192356
14702,14359,"Lorem ipsum dolor sit amet, tincidunt quisque, nulla ut ac blandit penatibus class. Morbi et ut ultricies consequat amet donec",2023-01-04T05:17:54Z,513068
789399,764339,"Lorem ipsum dolor sit amet, ipsum et sed dapibus non leo pretium efficitur integer. Metus quam maecenas nibh nullam, egestas",2023-01-04T10:36:39Z,82130|255662|387131|131125|989556
512490,625439,"Lorem ipsum dolor sit amet, montes ex ante felis malesuada in ultrices est posuere. Sapien vel sed et vestibulum consectetur",2023-01-04T17:04:17Z,836719|238522
493086,155161,"Lorem ipsum dolor sit amet, mus et mattis nibh sociis interdum sagittis potenti, finibus a leo. Eget eros faucibus ut,",2023-01-04T20:32:16Z,904449|742850|862473|313047
188420,872541,"Lorem ipsum dolor sit amet, nullam lacinia, ex diam vel vivamus amet placerat, amet. Pulvinar velit consequat, sit non penatibus",2023-01-05T03:52:36Z,585884|611352|906006
460999,237110,"Lorem ipsum dolor sit amet, risus class, sit placerat vel, dui eu. Blandit arcu nullam urna dictum curae nostra ultrices,",2023-01-05T06:01:34Z,3721
219768,896688,"Lorem ipsum dolor sit amet, dictum molestie senectus, in ex. A tincidunt nunc egestas a phasellus sed! Justo hendrerit sed.",2023-01-05T08:29:22Z,479581|602026|222776|667714|575742
890051,45667,"Lorem ipsum dolor sit amet, id sociosqu quis cursus, pulvinar eleifend sapien enim. Ut, nostra maximus, donec urna est ut",2023-01-05T09:09:36Z,290365|837744|918757|186317|543736
426972,788382,"Lorem ipsum dolor sit amet, non vitae ridiculus malesuada ac ultrices auctor. Vitae aenean curae mattis rhoncus pulvinar nibh, congue",2023-01-05T09:13:27Z,232501|513068|836000
